Date,momentum_3m_quarterly_n5,momentum_6m_quarterly_n5,momentum_12m_quarterly_n5,momentum_12m_skip_1m_quarterly_n5,risk_adjusted_momentum_quarterly_n5,low_vol_momentum_quarterly_n5,breakout_52w_quarterly_n5,drawdown_filtered_momentum_quarterly_n5,low_volatility_quarterly_n5,mean_reversion_rsi_quarterly_n5,high_liquidity_quarterly_n5,min_drawdown_quarterly_n5,spy_buy_and_hold
2020-05-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7662605825898833,1.1557275733359924,1.0,0.8863958648857442
2020-05-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8256245873210617,1.1746872573264708,1.0,0.9133952811747439
2020-05-19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8064596394775101,1.1795508950599303,1.0,0.9040136520769154
2020-05-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8359872587201782,1.2099216845878233,1.0,0.9193710019300396
2020-05-21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8332904565332122,1.1957530330070127,1.0,0.9130239692512926
2020-05-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8336597938058563,1.207179921854364,1.0,0.9147577887906061
2020-05-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8754138466832825,1.1898562608131042,1.0,0.9260280280214268
2020-05-27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.901710676622171,1.181176497019159,1.0,0.9398063489289161
2020-05-28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8895015275953002,1.175010464418756,1.0,0.9380726324459232
2020-05-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8818530785081573,1.1925641024955382,1.0,0.9422524937568492
2020-06-01,0.9977790464469717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9908523089340256,0.9171699895029244,1.2031332950397173,1.0,0.9460608370316822
2020-06-02,1.0096102270194816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9957078885009814,0.9405315317278085,1.2085106159015337,1.0,0.9538945601927247
2020-06-03,1.002555261046581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9987810107162524,0.9608709448938547,1.2066708637042682,1.0,0.9665890377755016
