date,equity
2025-06-06,1.1759621235383642
2025-06-09,1.1738100721739329
2025-06-10,1.1535235870409857
2025-06-11,1.168616450060821
2025-06-12,1.1726339228728586
2025-06-13,1.1760224670409134
2025-06-16,1.189612576293843
2025-06-17,1.1819689819885346
2025-06-18,1.1905652920439855
2025-06-20,1.1909633474938204
2025-06-23,1.2088029593102265
2025-06-24,1.217478061707335
2025-06-25,1.2078969511760924
2025-06-26,1.2329038436951294
2025-06-27,1.2184636210310407
2025-06-30,1.2329644942667006
2025-07-01,1.2059318600247153
2025-07-02,1.2085492932822677
2025-07-03,1.2144513997565074
2025-07-07,1.2219091721181339
2025-07-08,1.1934644475514966
2025-07-09,1.20273683731832
2025-07-10,1.2104357965537336
2025-07-11,1.2161481737204818
2025-07-14,1.2411615696496636
2025-07-15,1.2264540532573118
2025-07-16,1.228560500356582
2025-07-17,1.229146451004994
2025-07-18,1.224893324606749
2025-07-21,1.2186595128227171
2025-07-22,1.2116711646014575
2025-07-23,1.2388148803753585
2025-07-24,1.2380361655386336
2025-07-25,1.2598242959816732
2025-07-28,1.2738086992612683
2025-07-29,1.259523530073215
2025-07-30,1.2867775259398593
2025-07-31,1.278909193425489
2025-08-01,1.2556724196348612
2025-08-04,1.2850940382573826
2025-08-05,1.2873479794237688
2025-08-06,1.214683978392061
2025-08-07,1.21647702912186
2025-08-08,1.227508424182818
2025-08-11,1.2229449560188599
2025-08-12,1.2419654516561403
2025-08-13,1.245990048824109
2025-08-14,1.2295359670980348
2025-08-15,1.2140248850488606
2025-08-18,1.2155884386682454
2025-08-19,1.1985951054676451
2025-08-20,1.2019443579843325
2025-08-21,1.191545409314899
2025-08-22,1.2029419333627507
2025-08-25,1.2095066113176456
2025-08-26,1.2331041045978355
2025-08-27,1.2288022441431443
2025-08-28,1.2491566791101854
2025-08-29,1.229535108970834
2025-09-02,1.2321154323068464
2025-09-03,1.2419440619623583
2025-09-04,1.274880413435443
2025-09-05,1.2700847715234727
2025-09-08,1.2917872912070185
2025-09-09,1.3046937464377313
2025-09-10,1.344113887613413
2025-09-11,1.3260143959347277
2025-09-12,1.323094835330286
2025-09-15,1.3666606869233038
2025-09-16,1.366770595980921
2025-09-17,1.3535498134938428
2025-09-18,1.3753909095093564
2025-09-19,1.410262662937452
2025-09-22,1.4480045074825012
2025-09-23,1.4385364940632737
2025-09-24,1.424124971741758
2025-09-25,1.3760647046224772
2025-09-26,1.3699861375396198
2025-09-29,1.4549399932873395
2025-09-30,1.495491504847194
2025-10-01,1.5384563531748308
2025-10-02,1.5482512911989494
2025-10-03,1.5281288780371012
2025-10-06,1.4579875128275788
2025-10-07,1.4407105487854035
2025-10-08,1.4697516617137425
2025-10-09,1.4483272856723504
2025-10-10,1.3647050595411565
2025-10-13,1.4020313855955138
2025-10-14,1.3687763439648482
2025-10-15,1.407270680706909
2025-10-16,1.4411371494662686
2025-10-17,1.435818400854037
2025-10-20,1.4389311465205408
2025-10-21,1.4211818167440242
2025-10-22,1.3947561935608
2025-10-23,1.4543968185608
2025-10-24,1.5083707530737966
2025-10-27,1.512171357902961
2025-10-28,1.5001070114637158
2025-10-29,1.605438853792082
2025-10-30,1.5705074703661104
2025-10-31,1.6047004405523868
2025-11-03,1.6501173667265918
2025-11-04,1.577409255916655
2025-11-05,1.667698948252371
2025-11-06,1.6387512581316739
2025-11-07,1.636147317567946
2025-11-10,1.7128207662883714
2025-11-11,1.6724702381672885
2025-11-12,1.662097405553582
2025-11-13,1.594422620332529
2025-11-14,1.6166247247158863
2025-11-17,1.611393262096163
2025-11-18,1.5648478361854266
2025-11-19,1.567103818012874
2025-11-20,1.459257724497198
2025-11-21,1.4662975660510833
2025-11-24,1.5333267033681865
2025-11-25,1.557610382100033
2025-11-26,1.6054123492649421
2025-11-28,1.6398272332599986
2025-12-01,1.629439469998089
2025-12-02,1.6204771616653484
2025-12-03,1.5846955736217911
2025-12-04,1.6208893903027592
2025-12-05,1.699294847036463
2025-12-08,1.7294256269370234
2025-12-09,1.7384913664597261
2025-12-10,1.8302833058151817
2025-12-11,1.8646860030655308
2025-12-12,1.7492077744964998
2025-12-15,1.7302739858154694
2025-12-16,1.7370228627492919
2025-12-17,1.6834309029971326
2025-12-18,1.7488131680433998
2025-12-19,1.8070164930292112
2025-12-22,1.7998185588402091
2025-12-23,1.816180743568385
2025-12-24,1.8324960173555487
2025-12-26,1.828565731238659
2025-12-29,1.8159431692524013
2025-12-30,1.7957194651588886
2025-12-31,1.7722381888374774
2026-01-02,1.898397780893752
2026-01-05,1.9136031326791392
2026-01-06,2.132672242304848
2026-01-07,2.082335702377336
2026-01-08,2.004336360794084
2026-01-09,2.1141840097612725
2026-01-12,2.151263936592941
2026-01-13,2.170669721030795
2026-01-14,2.1728882922105583
2026-01-15,2.2008080157213006
2026-01-16,2.2130426562042276
2026-01-20,2.2458464481046736
2026-01-21,2.388703345121786
2026-01-22,2.3911371306982403
2026-01-23,2.349509828704754
2026-01-26,2.35980182499446
2026-01-27,2.4512527893499287
2026-01-28,2.6040730732138715
2026-01-29,2.6115140672104746
2026-01-30,2.5333126734992257
2026-02-02,2.6939501723949615
2026-02-03,2.766172918697676
2026-02-04,2.5267153470692163
2026-02-05,2.495299195569416
2026-02-06,2.658513527970175
2026-02-09,2.6479047353169443
2026-02-10,2.559051868643274
2026-02-11,2.709343147228839
2026-02-12,2.7363026356843787
2026-02-13,2.753152775329126
2026-02-17,2.6974474520524008
2026-02-18,2.790978111622062
2026-02-19,2.7974953255878927
2026-02-20,2.8851659348924756
2026-02-23,2.8861739054183886
2026-02-24,2.8528859293441697
2026-02-25,2.9443485439572896
2026-02-26,2.8878348385129535
2026-02-27,2.8546755642209614
2026-03-02,2.8411137890252824
2026-03-03,2.635787377853205
2026-03-04,2.736451701278498
2026-03-05,2.6256405061029215
2026-03-06,2.462617943300592
2026-03-09,2.601507882643517
2026-03-10,2.6952133707032515
2026-03-11,2.7598627542481737
2026-03-12,2.6616573770509078
2026-03-13,2.7499325357423143
2026-03-16,2.9000734654363027
2026-03-17,3.005992479847033
2026-03-18,3.040720711658557
2026-03-19,3.103103436460226
2026-03-20,2.9094802339455774
2026-03-23,2.943309344663351
2026-03-24,3.0695368759364277
2026-03-25,3.037250808068023
2026-03-26,2.726013614596442
2026-03-27,2.772016580905036
2026-03-30,2.545420841938208
2026-03-31,2.752267438137397
2026-04-01,2.9763926727422354
2026-04-02,3.0818235265740404
2026-04-06,3.0483226842888844
2026-04-07,3.110577791999151
2026-04-08,3.4158068264229797
2026-04-09,3.4656993068917297
2026-04-10,3.5143103508751943
2026-04-13,3.564816645075259
2026-04-14,3.57403412212382
2026-04-15,3.5018412088388997
2026-04-16,3.648610150360385
2026-04-17,3.7301518772482463
2026-04-20,3.728213776422746
2026-04-21,3.688611464833695
2026-04-22,3.796704410080921
2026-04-23,3.7604453982401007
2026-04-24,3.8623359746842594
2026-04-27,3.8503044225602356
2026-04-28,3.631538927723677
2026-04-29,3.6410237329959005
2026-04-30,3.8852994648102004
2026-05-01,4.060737576274387
2026-05-04,4.172380924581058
2026-05-05,4.38312189154848
2026-05-06,4.443325606141376
2026-05-07,4.235043805354343
2026-05-08,4.534966541766087
2026-05-11,4.801011086814305
2026-05-12,4.535423563770786
2026-05-13,4.618939872364536
2026-05-14,4.478869386104562
2026-05-15,4.334073676876046
2026-05-18,4.113620619014718
2026-05-19,4.184705861373813
2026-05-20,4.271271329488822
2026-05-21,4.52894378702571
2026-05-22,4.486710105013076
2026-05-26,4.74697279156665
2026-05-27,4.7860092267669465
2026-05-28,4.7603718750224076
2026-05-29,4.767371951735406
2026-06-01,4.985021255033059
2026-06-02,4.9543147876187925
2026-06-03,5.076024724485248
2026-06-04,4.914752875949035
2026-06-05,4.41873293116815
2026-06-08,4.618108342978453
2026-06-09,4.517245436725401
2026-06-10,4.368411391315244
2026-06-11,4.739383314783949
2026-06-12,4.9624922640637354
2026-06-15,5.4141726330827495
2026-06-16,5.256561739218765
2026-06-17,5.4100672788125
2026-06-18,5.666416491736085
2026-06-22,5.824295010666749
