strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,ticker,shares,price,execution_price,market_value,weight,target_weight,allocation_mode,cash_contribution,cash_after,total_equity,rank_on_signal
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,CCL,644,18.75786781311035,18.352238946416467,12080.066871643066,0.20430379181239117,0.2,equal_weight,2000.0,7.238627424357119,59127.962161054726,3.0
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,META,41,283.7929382324219,284.4676665294726,11635.510467529297,0.1967852441089734,0.2,equal_weight,2000.0,7.238627424357119,59127.962161054726,2.0
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,NVDA,279,42.330535888671875,42.43433377598921,11810.219512939453,0.19974000593442373,0.2,equal_weight,2000.0,7.238627424357119,59127.962161054726,1.0
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,RCL,118,100.36005401611328,100.65180133558765,11842.486373901367,0.2002857183145329,0.2,equal_weight,2000.0,7.238627424357119,59127.962161054726,5.0
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,TSLA,42,279.82000732421875,276.489990234375,11752.440307617188,0.19876281674659269,0.2,equal_weight,2000.0,7.238627424357119,59127.962161054726,4.0
momentum_6m,quarterly,5,14,2023-06-30,2023-07-03,CASH,0,1.0,,7.238627424357119,0.00012242308308614295,,equal_weight,2000.0,7.238627424357119,59127.962161054726,
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,CEG,105,102.891357421875,106.3986819976631,10803.592529296875,0.19298045517330684,0.2,equal_weight,2000.0,20.894270879370072,55982.83266351853,4.0
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,LLY,21,528.0692138671875,525.8325364316904,11089.453491210938,0.19808668056979958,0.2,equal_weight,2000.0,20.894270879370072,55982.83266351853,2.0
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,META,38,304.43096923828125,300.3827209900587,11568.376831054688,0.20664150563058725,0.2,equal_weight,2000.0,20.894270879370072,55982.83266351853,3.0
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,NVDA,254,44.69861602783203,43.94801356401108,11353.448471069336,0.20280232226383685,0.2,equal_weight,2000.0,20.894270879370072,55982.83266351853,1.0
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,RCL,125,89.1765365600586,89.22516359519047,11147.067070007324,0.19911580996635353,0.2,equal_weight,2000.0,20.894270879370072,55982.83266351853,5.0
momentum_6m,quarterly,5,15,2023-09-29,2023-10-02,CASH,0,1.0,,20.894270879370072,0.0003732263961159993,,equal_weight,2000.0,20.894270879370072,55982.83266351853,
momentum_6m,quarterly,5,16,2023-12-29,2024-01-02,ANET,233,57.88999938964844,58.5,13488.369857788086,0.20259395192046825,0.2,equal_weight,2000.0,7.721920726056837,66578.34417032932,3.0
