strategy,rebalance_frequency,top_n,rebalance_no,signal_date,effective_date,action,ticker,shares,price,notional,fee,allocation_mode,pre_shares,post_shares,purchase_price,realized_pnl,realized_pnl_pct,rank_on_signal
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,BUY,GILD,66,77.75858342910804,5132.066506321131,3.5924465544247917,equal_weight,0,66,,,,4
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,SELL,PWR,34,149.73150046506473,5090.8710158122,3.56360971106854,equal_weight,34,0,139.6663418484362,342.2153929653696,0.07206574242168579,234
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,BUY,RCL,88,58.72814261334925,5168.076549974734,3.617653584982314,equal_weight,0,88,,,,2
momentum_3m,quarterly,5,12,2022-11-30,2022-12-01,BUY,WYNN,64,80.91733486740557,5178.709431513957,3.6250966020597697,equal_weight,0,64,,,,5
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,BUY,ALGN,18,303.2200012207031,5457.960021972656,3.8205720153808596,equal_weight,0,18,,,,1
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,SELL,BIIB,16,270.6300048828125,4330.080078125,3.0310560546875,equal_weight,16,0,305.510009765625,-558.080078125,-0.11416976127744893,343
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,SELL,DXCM,45,112.51000213623047,5062.950096130371,3.54406506729126,equal_weight,45,0,116.38999938964844,-174.5998764038086,-0.03333617384452921,253
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,SELL,GILD,66,70.67869134303429,4664.793628640263,3.265355540048184,equal_weight,66,0,77.75858342910804,-467.2728776808681,-0.09104965360548842,328
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,BUY,META,32,170.87940337141325,5468.140907885224,3.8276986355196567,equal_weight,0,32,,,,2
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,BUY,NVDA,241,22.438144871095187,5407.59291393394,3.785315039753758,equal_weight,0,241,,,,4
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,SELL,RCL,88,68.85167024010262,6058.946981129031,4.241262886790322,equal_weight,88,0,58.72814261334925,890.870431154297,0.17237949603487437,19
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,BUY,WST,17,312.32432812306445,5309.5135780920955,3.7166595046644666,equal_weight,0,17,,,,5
momentum_3m,quarterly,5,13,2023-03-01,2023-03-02,SELL,WYNN,14,108.10905472453611,1513.5267661435055,1.0594687363004538,equal_weight,64,50,80.91733486740557,380.6840779998274,0.33604319645089625,3
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,BUY,AMD,57,117.29000091552734,6685.530052185059,4.679871036529541,equal_weight,0,57,,,,3
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,SELL,ALGN,18,283.6499938964844,5105.699890136719,3.573989923095703,equal_weight,18,0,303.2200012207031,-352.2601318359375,-0.06454062148088455,312
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,BUY,AVGO,86,76.81627150794905,6606.1993496836185,4.6243395447785325,equal_weight,0,86,,,,5
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,BUY,CMG,161,41.162601470947266,6627.17883682251,4.639025185775757,equal_weight,0,161,,,,4
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,SELL,META,7,263.5852973969688,1845.0970817787818,1.2915679572451473,equal_weight,32,25,170.87940337141325,648.941258178889,0.542522341467073,2
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,SELL,NVDA,69,38.410189027460895,2650.303042894802,1.8552121300263613,equal_weight,241,172,22.438144871095187,1102.071046789234,0.7118255206980545,1
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,SELL,WST,17,331.92003395748935,5642.640577277319,3.949848404094123,equal_weight,17,0,312.32432812306445,333.1269991852232,0.06274152882097499,112
momentum_3m,quarterly,5,14,2023-05-31,2023-06-01,SELL,WYNN,50,94.53888277067803,4726.944138533901,3.308860896973731,equal_weight,50,0,80.91733486740557,681.0773951636229,0.16833905770121171,359
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,SELL,AMD,57,106.19000244140625,6052.830139160156,4.23698109741211,equal_weight,57,0,117.29000091552734,-632.6999130249023,-0.09463721022660193,436
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,SELL,AVGO,86,86.61948020191133,7449.275297364375,5.2144927081550625,equal_weight,86,0,76.81627150794905,843.0759476807561,0.12761890809745735,175
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,BUY,BXP,125,57.40654837339017,7175.818546673771,5.02307298267164,equal_weight,0,125,,,,3
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,BUY,CCL,455,15.681025151716065,7134.866444030809,4.994406510821566,equal_weight,0,455,,,,2
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,BUY,CARR,129,55.20822325410539,7121.860799779595,4.985302559845716,equal_weight,0,129,,,,4
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,SELL,CMG,161,38.91699981689453,6265.6369705200195,4.385945879364014,equal_weight,161,0,41.162601470947266,-361.54186630249023,-0.05455441526546104,422
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,SELL,META,25,293.22499634625575,7330.624908656394,5.131437436059476,equal_weight,25,0,170.87940337141325,3058.639824371063,0.7159762414954098,170
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,SELL,NVDA,172,49.28399374905417,8476.846924837317,5.933792847386122,equal_weight,172,0,22.438144871095187,4617.486007008944,1.1964379868382877,19
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,BUY,ODFL,34,209.5290709675463,7123.988412896574,4.986791889027602,equal_weight,0,34,,,,5
momentum_3m,quarterly,5,15,2023-08-30,2023-08-31,BUY,URI,15,465.7375825859313,6986.063738788969,4.890244617152279,equal_weight,0,15,,,,1
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,BUY,ALL,52,128.33083712473962,6673.20353048646,4.6712424713405225,equal_weight,0,52,,,,3
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,SELL,BXP,125,49.409067095584206,6176.133386948026,4.323293370863618,equal_weight,125,0,57.40654837339017,-999.6851597257455,-0.1393130488491982,416
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,SELL,CCL,455,14.929127350277511,6792.752944376268,4.754927061063388,equal_weight,455,0,15.681025151716064,-342.11349965454156,-0.047949530988174484,334
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,SELL,CARR,129,50.29952656933756,6488.638927444545,4.542047249211181,equal_weight,129,0,55.20822325410539,-633.2218723350506,-0.08891241911870103,359
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,BUY,EXPE,49,134.69922548434207,6600.262048732761,4.620183434112933,equal_weight,0,49,,,,4
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,BUY,IT,15,430.57000732421875,6458.550109863281,4.520985076904297,equal_weight,0,15,,,,5
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,BUY,INTC,149,44.05991447429258,6564.9272566695945,4.595449079668716,equal_weight,0,149,,,,1
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,BUY,NRG,146,44.93595205718429,6560.649000348906,4.592454300244234,equal_weight,0,146,,,,2
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,SELL,ODFL,34,189.08004230995556,6428.721438538489,4.500105006976942,equal_weight,34,0,209.5290709675463,-695.2669743580855,-0.0975951860195957,388
momentum_3m,quarterly,5,16,2023-11-29,2023-11-30,SELL,URI,15,468.5469027662283,7028.203541493424,4.919742479045397,equal_weight,15,0,465.7375825859313,42.13980270445518,0.006031980852175862,212
momentum_3m,quarterly,5,17,2024-02-27,2024-02-28,BUY,AMD,40,176.25,7050.0,4.935,equal_weight,0,40,,,,4
momentum_3m,quarterly,5,17,2024-02-27,2024-02-28,SELL,ALL,52,151.7112642465731,7888.985740821801,5.522290018575261,equal_weight,52,0,128.33083712473962,1215.782210335341,0.18218869015174688,143
momentum_3m,quarterly,5,17,2024-02-27,2024-02-28,SELL,EXPE,49,133.8497629091712,6558.638382549389,4.591046867784572,equal_weight,49,0,134.69922548434207,-41.623666183372734,-0.0063063656982171494,373
