date,ticker,action,reason,score,selected,currently_held,current_shares,current_weight,target_weight,weight_gap,latest_price,allocation_mode,rebalance_frequency,top_n
2025-04-04,TPR,HOLD,Current holding remains close to target weight,0.387214129345012,True,True,51,0.2130275203029436,0.2,-0.013027520302943602,61.86504364013672,equal_weight,quarterly,5
2025-04-04,TTWO,HOLD,Current holding remains close to target weight,0.28545952373464045,True,True,16,0.21020275229672122,0.2,-0.010202752296721213,194.5800018310547,equal_weight,quarterly,5
2025-04-04,GILD,BUY,New target holding from latest signal,0.2852313198156067,True,False,0,0.0,0.2,0.2,104.47216033935547,equal_weight,quarterly,5
2025-04-04,EQT,SELL,Ticker is no longer selected by the signal,0.263046630120219,False,True,64,0.1963588878902789,0.0,-0.1963588878902789,45.441261291503906,equal_weight,quarterly,5
2025-04-07,PLTR,TRIM,Current weight is above target weight,0.9836899339534386,True,True,43,0.22491851970238722,0.2,-0.024918519702387204,77.83999633789062,equal_weight,quarterly,5
2025-04-07,TPR,HOLD,Current holding remains close to target weight,0.39044070648943174,True,True,49,0.2038638735965926,0.2,-0.0038638735965925985,61.9141960144043,equal_weight,quarterly,5
2025-04-07,MCK,ADD,Current weight is below target weight,0.37569067605492323,True,True,4,0.1770350920303625,0.2,0.022964907969637516,658.6359252929688,equal_weight,quarterly,5
2025-04-07,TTWO,HOLD,Current holding remains close to target weight,0.33773529649440537,True,True,15,0.19910321565606565,0.2,0.0008967843439343648,197.52999877929688,equal_weight,quarterly,5
2025-04-07,PM,BUY,New target holding from latest signal,0.3030853004438281,True,False,0,0.0,0.2,0.2,146.0547637939453,equal_weight,quarterly,5
2025-04-07,GILD,SELL,Ticker is no longer selected by the signal,0.2730631971672357,False,True,28,0.19339713040754986,0.0,-0.19339713040754986,102.7869644165039,equal_weight,quarterly,5
2025-04-08,PLTR,HOLD,Current holding remains close to target weight,0.9325169442261871,True,True,38,0.20078114489662932,0.2,-0.00078114489662931,77.31999969482422,equal_weight,quarterly,5
2025-04-08,MCK,ADD,Current weight is below target weight,0.34789209158490775,True,True,4,0.17754756087426724,0.2,0.022452439125732776,649.5419921875,equal_weight,quarterly,5
2025-04-08,TPR,HOLD,Current holding remains close to target weight,0.3161078343623225,True,True,49,0.19945034214777238,0.2,0.0005496578522276307,59.56501007080078,equal_weight,quarterly,5
2025-04-08,EQT,BUY,New target holding from latest signal,0.29486132184359337,True,False,0,0.0,0.2,0.2,46.801246643066406,equal_weight,quarterly,5
2025-04-08,TTWO,HOLD,Current holding remains close to target weight,0.29375698359426217,True,True,16,0.21457401825079717,0.2,-0.014574018250797155,196.25,equal_weight,quarterly,5
2025-04-08,PM,SELL,Ticker is no longer selected by the signal,0.27807876944077714,False,True,21,0.20682389918061095,0.0,-0.20682389918061095,144.1232147216797,equal_weight,quarterly,5
2025-04-09,PLTR,HOLD,Current holding remains close to target weight,1.3659039233803965,True,True,38,0.21841757290891625,0.2,-0.01841757290891624,92.01000213623047,equal_weight,quarterly,5
2025-04-09,TPR,HOLD,Current holding remains close to target weight,0.4874135275524789,True,True,50,0.20655870922016076,0.2,-0.006558709220160747,66.13092041015625,equal_weight,quarterly,5
2025-04-09,MCK,ADD,Current weight is below target weight,0.3919954218295445,True,True,4,0.16701301556252332,0.2,0.03298698443747669,668.3768310546875,equal_weight,quarterly,5
2025-04-09,TTWO,HOLD,Current holding remains close to target weight,0.3673871342379402,True,True,16,0.20802887311141446,0.2,-0.008028873111414453,208.1300048828125,equal_weight,quarterly,5
2025-04-09,EQT,HOLD,Current holding remains close to target weight,0.3547311718713091,True,True,64,0.19767340319978194,0.2,0.0023265968002180726,49.44237518310547,equal_weight,quarterly,5
2025-04-10,PLTR,HOLD,Current holding remains close to target weight,1.1372736961949386,True,True,36,0.20477123705591582,0.2,-0.004771237055915811,88.58999633789062,equal_weight,quarterly,5
2025-04-10,TPR,HOLD,Current holding remains close to target weight,0.42624463839682036,True,True,51,0.2057345626118262,0.2,-0.005734562611826199,62.82830047607422,equal_weight,quarterly,5
2025-04-10,MCK,ADD,Current weight is below target weight,0.37521150663133174,True,True,4,0.17359203396109443,0.2,0.026407966038905578,675.90869140625,equal_weight,quarterly,5
2025-04-10,TTWO,HOLD,Current holding remains close to target weight,0.3365372067417227,True,True,16,0.20999255520076135,0.2,-0.009992555200761338,204.41000366210938,equal_weight,quarterly,5
2025-04-10,EQT,HOLD,Current holding remains close to target weight,0.3174906086661309,True,True,67,0.2055720371564806,0.2,-0.00557203715648058,47.786746978759766,equal_weight,quarterly,5
2025-04-11,PLTR,HOLD,Current holding remains close to target weight,1.0530953132115797,True,True,36,0.20193572438174998,0.2,-0.0019357243817499648,88.55000305175781,equal_weight,quarterly,5
2025-04-11,TPR,HOLD,Current holding remains close to target weight,0.4288486452767226,True,True,51,0.20132612189817334,0.2,-0.001326121898173327,62.31719207763672,equal_weight,quarterly,5
2025-04-11,TTWO,HOLD,Current holding remains close to target weight,0.3783309923498783,True,True,16,0.21494201178377298,0.2,-0.014942011783772968,212.07000732421875,equal_weight,quarterly,5
2025-04-11,MCK,ADD,Current weight is below target weight,0.3759774565577243,True,True,4,0.17379421265465717,0.2,0.026205787345342846,685.8880615234375,equal_weight,quarterly,5
2025-04-11,EQT,HOLD,Current holding remains close to target weight,0.3682008555651415,True,True,67,0.20766887937699557,0.2,-0.007668879376995563,48.92992401123047,equal_weight,quarterly,5
2025-04-14,PLTR,HOLD,Current holding remains close to target weight,1.128216952489927,True,True,35,0.20251032292930923,0.2,-0.002510322929309222,92.62000274658203,equal_weight,quarterly,5
2025-04-14,TPR,HOLD,Current holding remains close to target weight,0.4503592717239413,True,True,52,0.2036482797791046,0.2,-0.0036482797791045907,62.69069290161133,equal_weight,quarterly,5
2025-04-14,TTWO,HOLD,Current holding remains close to target weight,0.38738673090819775,True,True,16,0.21284916615827304,0.2,-0.012849166158273029,212.9499969482422,equal_weight,quarterly,5
2025-04-14,EQT,HOLD,Current holding remains close to target weight,0.3743866054169933,True,True,67,0.2061169734872243,0.2,-0.0061169734872242865,49.24528121948242,equal_weight,quarterly,5
2025-04-14,MCK,ADD,Current weight is below target weight,0.37389852179250305,True,True,4,0.17253946526090133,0.2,0.02746053473909868,690.4848022460938,equal_weight,quarterly,5
2025-04-15,PLTR,HOLD,Current holding remains close to target weight,1.2615491914919361,True,True,35,0.21140711826679096,0.2,-0.011407118266790944,98.4000015258789,equal_weight,quarterly,5
2025-04-15,TPR,HOLD,Current holding remains close to target weight,0.42637594549731306,True,True,52,0.20060928128577266,0.2,-0.0006092812857726448,62.847965240478516,equal_weight,quarterly,5
2025-04-15,TTWO,HOLD,Current holding remains close to target weight,0.383712754986286,True,True,16,0.2107687255138837,0.2,-0.010768725513883692,214.60000610351562,equal_weight,quarterly,5
2025-04-15,MCK,ADD,Current weight is below target weight,0.3734719114062788,True,True,4,0.1692657666126673,0.2,0.03073423338733272,689.3704833984375,equal_weight,quarterly,5
2025-04-15,EQT,HOLD,Current holding remains close to target weight,0.36609433937488234,True,True,67,0.20565393037193486,0.2,-0.0056539303719348455,50.00411605834961,equal_weight,quarterly,5
2025-04-16,PLTR,HOLD,Current holding remains close to target weight,1.1361750190075637,True,True,35,0.20281391474741017,0.2,-0.0028139147474101622,92.70999908447266,equal_weight,quarterly,5
2025-04-16,EQT,HOLD,Current holding remains close to target weight,0.3993546436015454,True,True,66,0.20672512216127126,0.2,-0.006725122161271246,50.11251449584961,equal_weight,quarterly,5
2025-04-16,TPR,HOLD,Current holding remains close to target weight,0.39266215201312793,True,True,53,0.20471093088521447,0.2,-0.004710930885214459,61.79623794555664,equal_weight,quarterly,5
2025-04-16,MCK,ADD,Current weight is below target weight,0.3671415315210962,True,True,4,0.17280950343972595,0.2,0.027190496560274058,691.2012329101562,equal_weight,quarterly,5
2025-04-16,PM,BUY,New target holding from latest signal,0.3632120526999625,True,False,0,0.0,0.2,0.2,154.98822021484375,equal_weight,quarterly,5
2025-04-16,TTWO,SELL,Ticker is no longer selected by the signal,0.36009781804116536,False,True,16,0.21141124311137366,0.0,-0.21141124311137366,211.39999389648438,equal_weight,quarterly,5
2025-04-17,PLTR,HOLD,Current holding remains close to target weight,1.2102285671644744,True,True,35,0.20302782088056587,0.2,-0.003027820880565857,93.77999877929688,equal_weight,quarterly,5
2025-04-17,TPR,HOLD,Current holding remains close to target weight,0.42188214689509507,True,True,53,0.20506989909082576,0.2,-0.005069899090825752,62.5530891418457,equal_weight,quarterly,5
2025-04-17,EQT,HOLD,Current holding remains close to target weight,0.4153065631534034,True,True,66,0.20510504407022137,0.2,-0.0051050440702213595,50.24063491821289,equal_weight,quarterly,5
2025-04-17,PM,HOLD,Current holding remains close to target weight,0.3824880987384147,True,True,22,0.21449862870754235,0.2,-0.014498628707542344,157.6248016357422,equal_weight,quarterly,5
2025-04-17,NFLX,BUY,New target holding from latest signal,0.3782685344155421,True,False,0,0.0,0.2,0.2,97.3030014038086,equal_weight,quarterly,5
2025-04-17,MCK,SELL,Ticker is no longer selected by the signal,0.3601010239742828,False,True,4,0.17160387283822848,0.0,-0.17160387283822848,693.5692138671875,equal_weight,quarterly,5
2025-04-21,PLTR,HOLD,Current holding remains close to target weight,1.165514008845585,True,True,35,0.2006226352051075,0.2,-0.0006226352051074968,90.80000305175781,equal_weight,quarterly,5
2025-04-21,NFLX,HOLD,Current holding remains close to target weight,0.407279268673596,True,True,33,0.20580567506047062,0.2,-0.005805675060470611,98.79100036621094,equal_weight,quarterly,5
2025-04-21,TPR,HOLD,Current holding remains close to target weight,0.40353120301270473,True,True,52,0.2038579123375481,0.2,-0.0038579123375480917,62.10094451904297,equal_weight,quarterly,5
2025-04-21,PM,HOLD,Current holding remains close to target weight,0.36842227347723644,True,True,20,0.19775665487362892,0.2,0.002243345126371088,156.6300506591797,equal_weight,quarterly,5
2025-04-21,MCK,BUY,New target holding from latest signal,0.33877526659143453,True,False,0,0.0,0.2,0.2,679.052734375,equal_weight,quarterly,5
2025-04-21,EQT,SELL,Ticker is no longer selected by the signal,0.3092566464878199,False,True,64,0.1898442710353867,0.0,-0.1898442710353867,46.98849105834961,equal_weight,quarterly,5
2025-04-22,PLTR,HOLD,Current holding remains close to target weight,1.2378570919945124,True,True,34,0.19588860739216563,0.2,0.004111392607834385,93.98999786376953,equal_weight,quarterly,5
2025-04-22,NFLX,HOLD,Current holding remains close to target weight,0.5128916964360803,True,True,31,0.19769040837491328,0.2,0.002309591625086732,104.03399658203125,equal_weight,quarterly,5
2025-04-22,TPR,HOLD,Current holding remains close to target weight,0.45112271241489865,True,True,51,0.19948759112508882,0.2,0.000512408874911191,63.81122589111328,equal_weight,quarterly,5
2025-04-22,PM,HOLD,Current holding remains close to target weight,0.3933514860055025,True,True,20,0.19430836372026095,0.2,0.005691636279739065,158.4940185546875,equal_weight,quarterly,5
2025-04-22,MCK,HOLD,Current holding remains close to target weight,0.3695723741457926,True,True,5,0.21199070871266804,0.2,-0.011990708712668025,691.6688232421875,equal_weight,quarterly,5
2025-04-23,PLTR,HOLD,Current holding remains close to target weight,1.346288034226276,True,True,34,0.2049578913838197,0.2,-0.00495789138381969,100.81999969482422,equal_weight,quarterly,5
2025-04-23,TPR,HOLD,Current holding remains close to target weight,0.48921659749438073,True,True,49,0.19173328384289254,0.2,0.008266716157107473,65.44287872314453,equal_weight,quarterly,5
2025-04-23,PM,HOLD,Current holding remains close to target weight,0.4264818171525657,True,True,20,0.19415134437590195,0.2,0.005848655624098059,162.3571319580078,equal_weight,quarterly,5
2025-04-23,NFLX,HOLD,Current holding remains close to target weight,0.37400672502129595,True,True,32,0.20082080177194075,0.2,-0.0008208017719407434,104.95899963378906,equal_weight,quarterly,5
2025-04-23,TTWO,BUY,New target holding from latest signal,0.3737360545019912,True,False,0,0.0,0.2,0.2,213.3000030517578,equal_weight,quarterly,5
2025-04-23,MCK,SELL,Ticker is no longer selected by the signal,0.36257318379315895,False,True,5,0.20591678150775175,0.0,-0.20591678150775175,688.783447265625,equal_weight,quarterly,5
2025-04-24,PLTR,HOLD,Current holding remains close to target weight,1.5241217061720103,True,True,33,0.20463034403803274,0.2,-0.004630344038032724,107.77999877929688,equal_weight,quarterly,5
2025-04-24,TPR,HOLD,Current holding remains close to target weight,0.5496548098079221,True,True,51,0.19698238001451202,0.2,0.003017619985487996,67.13349914550781,equal_weight,quarterly,5
2025-04-24,PM,HOLD,Current holding remains close to target weight,0.458277086399693,True,True,20,0.18899636677722212,0.2,0.011003633222777892,164.25006103515625,equal_weight,quarterly,5
2025-04-24,NFLX,HOLD,Current holding remains close to target weight,0.4206871840560904,True,True,32,0.2019403213172771,0.2,-0.0019403213172770883,109.68699645996094,equal_weight,quarterly,5
2025-04-24,TTWO,HOLD,Current holding remains close to target weight,0.4194925771946083,True,True,16,0.20499280725394936,0.2,-0.0049928072539493495,222.69000244140625,equal_weight,quarterly,5
2025-04-25,PLTR,HOLD,Current holding remains close to target weight,1.6264555748995044,True,True,32,0.20469292999056662,0.2,-0.004692929990566613,112.77999877929688,equal_weight,quarterly,5
